Date,Open,High,Low,Close,Adj Close,Volume
1995-04-10,20.076483,20.942879,20.076483,20.644119,12.033691,33393341
1995-04-17,20.793499,21.988527,20.554493,21.898901,12.765115,77901478
1995-04-24,21.869024,23.153681,21.749521,22.615917,13.183060,83012233
1995-05-01,22.436663,22.974426,21.898901,22.257408,12.974095,70671107
1995-05-08,22.167782,22.854923,22.137905,22.556166,13.183212,57000307
1995-05-15,22.586042,22.974426,22.048279,22.317162,13.043521,60848749
1995-05-22,22.347036,23.392687,22.347036,22.705545,13.270518,58701101
1995-05-29,22.854923,22.884798,21.869024,22.436663,13.113368,43597699
1995-06-05,21.928776,22.347036,21.122131,21.301386,12.449837,81598042
1995-06-12,21.630018,22.466539,21.450766,22.137905,12.938755,55869371
1995-06-19,22.317162,23.751196,22.287285,23.571941,13.776887,68332670
1995-06-26,23.542065,23.721319,22.556166,22.944551,13.410205,55341349
1995-07-03,23.004301,24.049952,22.884798,23.781071,13.899125,39153453
1995-07-10,23.900574,24.916348,23.781071,24.826721,14.510262,55984849
1995-07-17,24.886473,25.961998,23.362810,24.766970,14.475341,128417420
1995-07-24,24.886473,26.589388,24.737095,26.440010,15.453161,82013513
1995-07-31,26.440010,26.708891,25.244982,25.961998,15.173782,55507036
1995-08-07,26.081501,26.380259,25.902246,26.111378,15.261095,39714528
1995-08-14,26.111378,27.396032,26.111378,26.619265,15.593741,59094397
1995-08-21,26.619265,26.619265,24.796844,24.826721,14.543657,83819327
1995-08-28,24.796844,24.976099,23.571941,24.557838,14.386144,73825844
1995-09-04,24.617592,24.617592,23.452438,23.631693,13.843597,84795454
1995-09-11,23.482313,23.601816,21.898901,22.048279,12.916027,177718329
1995-09-18,22.108030,23.452438,22.078156,22.436663,13.143543,70464418
1995-09-25,22.466539,22.795172,21.958652,22.586042,13.231055,66481249
1995-10-02,22.705545,22.854923,22.317162,22.496414,13.178544,53290771
1995-10-09,22.436663,22.526291,21.301386,22.108030,12.951032,73422506
1995-10-16,22.108030,23.542065,21.809273,22.795172,13.353566,127765553
1995-10-23,22.854923,23.721319,22.615917,23.064054,13.511084,66208872
1995-10-30,23.303059,24.259083,23.034178,24.259083,14.211130,61631156
1995-11-06,24.199331,24.468212,23.093929,23.273184,13.633580,63660397
1995-11-13,23.303059,23.422562,22.645794,22.735420,13.352358,52981573
1995-11-20,22.705545,23.093929,22.227533,22.914675,13.457640,36392432
1995-11-27,23.064054,23.452438,22.645794,22.645794,13.299725,54374428
1995-12-04,22.705545,23.243307,22.466539,23.153681,13.598007,57655521
1995-12-11,23.213432,23.243307,21.480640,21.570269,12.668074,72261028
1995-12-18,21.510515,21.988527,20.972754,21.809273,12.808446,76386452
1995-12-25,21.988527,22.018402,21.391012,21.839149,12.825995,32460728
1996-01-01,21.839149,22.018402,20.464867,21.181883,12.439980,73638401
1996-01-08,21.181883,21.331263,20.554493,20.644119,12.124156,73568528
1996-01-15,20.673996,24.886473,19.867352,24.378586,14.317382,151377120
1996-01-22,24.259083,26.051624,24.079828,25.035851,14.703391,107152240
1996-01-29,25.035851,26.380259,24.916348,26.201004,15.387681,80189288
1996-02-05,26.141253,27.515535,26.111378,27.127151,15.931600,79143707
1996-02-12,27.276529,28.411806,27.127151,28.202677,16.599411,88671094
1996-02-19,27.903919,30.144598,27.903919,30.025097,17.672037,79083876
1996-02-26,29.606836,30.801865,27.963671,28.232553,16.617006,113889318
1996-03-04,28.381931,28.979446,26.828394,27.306404,16.071882,77198984
1996-03-11,27.216778,28.680689,27.157026,28.650812,16.863182,72559764
1996-03-18,28.830067,29.995220,27.276529,27.306404,16.071882,84255301
1996-03-25,27.455784,27.515535,25.722992,26.589388,15.649868,78990991
1996-04-01,26.798517,28.800192,26.290630,28.142925,16.564240,60413195
1996-04-08,27.635038,28.889818,26.320507,26.649139,15.685039,86529304
1996-04-15,26.918020,28.710564,24.707218,25.185228,14.823409,151903048
1996-04-22,25.543737,26.021749,25.244982,25.752869,15.157513,65177933
1996-04-29,25.752869,26.350382,25.663240,25.842495,15.210267,54258531
1996-05-06,25.932121,25.932121,24.766970,25.424234,14.964086,55930875
1996-05-13,25.424234,26.679014,25.304731,26.499762,15.648850,61603961
1996-05-20,26.768642,26.888145,25.812620,25.991875,15.348925,45223183
1996-05-27,26.111378,26.141253,25.244982,25.513863,15.066650,41227044
1996-06-03,25.424234,25.483988,22.974426,24.318834,14.360954,78955846
1996-06-10,24.378586,24.946224,24.229206,24.288958,14.343309,53118390
1996-06-17,24.348709,24.557838,23.482313,23.571941,13.919881,56969344
1996-06-24,23.810946,23.930449,23.332935,23.661568,13.972810,53988662
1996-07-01,23.721319,24.438337,23.362810,23.392687,13.814038,35773200
1996-07-08,23.452438,23.960325,22.496414,22.780233,13.452362,65821852
1996-07-15,22.586042,23.392687,21.450766,22.406788,13.231833,78921536
1996-07-22,22.317162,24.886473,21.301386,24.826721,14.660868,90310385
1996-07-29,24.737095,26.141253,24.707218,26.021749,15.366570,67875776
1996-08-05,25.812620,27.216778,25.812620,26.858271,15.860554,56492368
1996-08-12,26.768642,27.067400,26.081501,26.290630,15.575071,42532871
1996-08-19,26.260756,27.216778,26.171127,27.007648,15.999861,34601680
1996-08-26,27.007648,27.664913,26.589388,27.336281,16.194542,40415349
1996-09-02,27.067400,27.694790,26.903084,27.605164,16.353827,32576205
1996-09-09,27.724665,29.367830,27.694790,29.188576,17.291874,68813411
1996-09-16,29.188576,29.935469,29.039198,29.397705,17.415773,61087236
1996-09-23,29.218451,30.562859,29.188576,29.815966,17.663549,52797897
1996-09-30,29.845840,30.383604,29.427582,30.264101,17.929035,43812756
1996-10-07,30.323853,31.100620,29.995220,31.040871,18.389215,52266529
1996-10-14,31.040871,31.369503,29.636711,30.921368,18.318413,49160328
1996-10-21,30.592733,32.355404,30.144598,30.234226,17.911339,74312024
1996-10-28,30.264101,30.981119,29.905594,30.473230,18.052931,44606042
1996-11-04,30.443356,32.295650,30.443356,32.116398,19.026373,51855659
1996-11-11,32.116398,34.775333,31.787764,34.655830,20.586107,71646397
1996-11-18,34.596081,38.001911,34.177818,37.882408,22.502739,120402967
1996-11-25,37.792782,38.420174,37.314770,38.091537,22.626968,50540210
1996-12-02,38.151291,39.674953,36.657505,37.195267,22.094572,89967715
1996-12-09,37.434273,38.689053,36.209370,36.538002,21.704145,80396396
1996-12-16,36.567879,38.181168,35.193596,36.956261,21.952589,78703132
1996-12-23,36.806885,37.852531,36.508125,37.075764,22.023581,21933783
1996-12-30,37.105640,38.031788,35.910610,38.031788,22.591471,42821148
1997-01-06,38.091537,39.256691,37.852531,38.957935,23.141609,74904897
1997-01-13,38.957935,40.242592,38.898186,39.495697,23.461054,71038881
1997-01-20,39.406071,40.660851,35.611855,35.970364,21.366961,147970507
